MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,ethnicity
1968511000006114,9t2A,9t2A.00,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,9.78E+14,2.49E+15,22,Mixed/Other
1968581000006119,9t2H,9t2H.00,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",9.78E+14,2.49E+15,22,Mixed/Other
1968591000006116,9t2J,9t2J.00,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,9.78E+14,2.49E+15,22,Mixed/Other
138241000000113,9iF6,9iF6.00,Jewish - ethnic category 2001 census,8.90E+13,1.38E+14,22,Mixed/Other
138251000000111,9iF9,9iF9.00,Arab - ethnic category 2001 census,8.90E+13,1.38E+14,22,Mixed/Other
138261000000114,9iFD,9iFD.00,Iranian - ethnic category 2001 census,8.90E+13,1.38E+14,22,Mixed/Other
138271000000119,9iFH,9iFH.00,South and Central American - ethnic category 2001 census,8.90E+13,1.38E+14,22,Mixed/Other
138281000000117,9iF7,9iF7.00,Muslim - ethnic category 2001 census,8.90E+13,1.38E+14,22,Mixed/Other
141401000000117,9iE,9iE..00,Chinese - ethnic category 2001 census,9.25E+13,1.41E+14,22,Mixed/Other
141411000000115,9iF,9iF..00,Other - ethnic category 2001 census,9.25E+13,1.41E+14,22,Mixed/Other
141621000000111,9iF0,9iF0.00,Vietnamese - ethnic category 2001 census,9.28E+13,1.42E+14,22,Mixed/Other
141631000000113,9iF1,9iF1.00,Japanese - ethnic category 2001 census,9.28E+13,1.42E+14,22,Mixed/Other
141641000000116,9iF2,9iF2.00,Filipino - ethnic category 2001 census,9.28E+13,1.42E+14,22,Mixed/Other
141651000000118,9iF3,9iF3.00,Malaysian - ethnic category 2001 census,9.28E+13,1.42E+14,22,Mixed/Other
142811000000112,9iFA,9iFA.00,North African - ethnic category 2001 census,9.41E+13,1.43E+14,22,Mixed/Other
142831000000116,9iFC,9iFC.00,Israeli - ethnic category 2001 census,9.41E+13,1.43E+14,22,Mixed/Other
142841000000113,9iFE,9iFE.00,Kurdish - ethnic category 2001 census,9.41E+13,1.43E+14,22,Mixed/Other
142851000000111,9iFF,9iFF.00,Moroccan - ethnic category 2001 census,9.41E+13,1.43E+14,22,Mixed/Other
142861000000114,9iFG,9iFG.00,Latin American - ethnic category 2001 census,9.41E+13,1.43E+14,22,Mixed/Other
142881000000117,9iF4,9iF4.00,Buddhist - ethnic category 2001 census,9.41E+13,1.43E+14,22,Mixed/Other
142891000000115,9iF8,9iF8.00,Sikh - ethnic category 2001 census,9.41E+13,1.43E+14,22,Mixed/Other
142901000000119,9iFK,9iFK.00,Any other group - ethnic category 2001 census,9.42E+13,1.43E+14,22,Mixed/Other
157351000000115,9iF5,9iF5.00,Hindu - ethnic category 2001 census,1.11E+14,1.57E+14,22,Mixed/Other
937871000006114,9iFB,9iFB.00,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census",9.41E+13,1.43E+14,22,Mixed/Other
937941000006111,9iFJ,9iFJ.00,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census,9.41E+13,1.43E+14,22,Mixed/Other
133078012,9T8,9T8..00,Portuguese,80208004,133078012,22,White
285925010,9S1,9S1..00,White,185984009,285925010,22,White
285978014,9SA9,9SA9.00,Irish (NMO),186014006,285978014,22,White
286007012,9T11,9T11.00,New Zealand European,186036009,286007012,22,White
286008019,9T11-1,9T11.11,Pakeha,186036009,286008019,22,White
1968261000006110,9T12,9T12.00,Other European in New Zealand,186037000,286009010,22,White
459726019,9S10,9S10.00,White British,315236000,459726019,22,White
459727011,9S11,9S11.00,White Irish,315237009,459727011,22,White
459728018,9S12,9S12.00,White - ethnic group,185984009,285926011,22,White
459786016,9SI,9SI..00,Irish traveller,315283003,459786016,22,White
1780407014,9S13,9S13.00,White Scottish,401213008,1780407014,22,White
1780408016,9S14,9S14.00,Other white British ethnic group,401214002,1780408016,22,White
850671000006119,9T2,9T2..00,Gypsies,40182006,63802019,22,White
1158211000000111,9T4,9T4..00,Romanian,445343003,2872780011,22,White
1158301000000115,9T5,9T5..00,Bulgarian,29343004,1.16E+15,22,White
1160331000000119,9T6,9T6..00,Czech,286009,3314518019,22,White
1551471000000116,9T7,9T7..00,Slovak,36329002,3314524013,22,White
